Appr_Stat;Reference;4_1;4_1_Error;2_1;2_1_Error;1_1;1_1_Error;1_0;1_0_Error;0_0;0_0_Error;0_1;0_1_Error;1_2;1_2_Error;1_4;1_4_Error
Bodin et al. 2017;X2015_2012_1;T3_DEM_60_4_1  xyzDispAnual;T3_DEM_60_4_1  xyzDispAnualError;T3_DEM_60_2_1  xyzDispAnual;T3_DEM_60_2_1  xyzDispAnualError;T3_DEM_60_1_1  xyzDispAnual;T3_DEM_60_1_1  xyzDispAnualError;T3_DEM_60_1_0  xyzDispAnual;T3_DEM_60_1_0  xyzDispAnualError;T3_DEM_60_0_0  xyzDispAnual;T3_DEM_60_0_0  xyzDispAnualError;T3_DEM_60_0_1  xyzDispAnual;T3_DEM_60_0_1  xyzDispAnualError;T3_DEM_60_1_2  xyzDispAnual;T3_DEM_60_1_2  xyzDispAnualError;T3_DEM_60_1_4  xyzDispAnual;T3_DEM_60_1_4  xyzDispAnualError
Min;0.1787;0.1347;-0.0533;0.1267;0.052;0.135;0.0437;0.1438;-0.0254;0.2918;-0.1813;0.2619;-0.1809;0.1441;0.0346;0.137;0.0023
Qu1.25%;1.0853;0.6315;0.1164;0.5757;0.3223;0.5781;0.3624;0.6248;0.1887;0.2993;0.7907;0.2947;0.7908;0.578;0.2595;0.3871;0.4059
Median;1.5032;0.9658;0.3278;0.8476;0.5309;0.8609;0.5055;0.9907;0.3415;0.3227;1.104;0.3046;1.1582;0.8173;0.4115;0.6223;0.703
Mean;1.3084;0.9127;0.3781;0.7956;0.5129;0.8097;0.4987;0.927;0.3814;0.3767;0.9318;0.3184;0.99;0.7969;0.494;0.6294;0.679
Qu3.75%;1.6046;1.1813;0.4228;1.0297;0.6918;1.0416;0.6797;1.273;0.4474;0.4504;1.2214;0.3376;1.2849;1.0559;0.536;0.7645;0.939
Max;2.0302;1.6292;0.9426;1.6215;0.9511;1.5573;0.9734;1.7121;1.117;0.5596;1.4706;0.3972;1.6879;1.5453;1.1668;1.5806;1.3272
IQR;0.5194;0.5498;0.3064;0.454;0.3695;0.4635;0.3173;0.6482;0.2586;0.1511;0.4307;0.0429;0.4941;0.4779;0.2765;0.3775;0.5331
SD;0.5088;0.4511;0.3161;0.3555;0.2906;0.3519;0.284;0.4476;0.3038;0.0957;0.4616;0.0355;0.5071;0.3821;0.3474;0.3251;0.388
N;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
Na;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
RMSE;-;0.4868;-;0.5855;-;0.57;-;0.4824;-;1.0341;-;1.1059;-;0.598;-;0.7767;-
Rsquared;-;0.6342;-;0.6912;-;0.7115;-;0.6489;-;0.3177;-;0.0067;-;0.5516;-;0.4184;-
MAE;-;0.3844;-;0.5129;-;0.4987;-;0.3843;-;0.9519;-;1.0101;-;0.494;-;0.679;-
;;;;;;;;;;;;;;;;;
Expert based;XYZ_Displacement_year;T3_DEM_60_4_1  xyzDispAnual;T3_DEM_60_4_1  xyzDispAnualError;T3_DEM_60_2_1  xyzDispAnual;T3_DEM_60_2_1  xyzDispAnualError;T3_DEM_60_1_1  xyzDispAnual;T3_DEM_60_1_1  xyzDispAnualError;T3_DEM_60_1_0  xyzDispAnual;T3_DEM_60_1_0  xyzDispAnualError;T3_DEM_60_0_0  xyzDispAnual;T3_DEM_60_0_0  xyzDispAnualError;T3_DEM_60_0_1  xyzDispAnual;T3_DEM_60_0_1  xyzDispAnualError;T3_DEM_60_1_2  xyzDispAnual;T3_DEM_60_1_2  xyzDispAnualError;T3_DEM_60_1_4  xyzDispAnual;T3_DEM_60_1_4  xyzDispAnualError
Min;0.0232;0.1896;-0.6407;0.1729;-0.2034;0.189;-0.2;0.1921;-0.5922;0.2912;-0.6312;0.2026;-0.2413;0.1696;-0.3969;0.039;-0.1783
Qu1.25%;0.3723;0.5942;-0.1456;0.5677;-0.068;0.5241;-0.0747;0.561;-0.1388;0.4054;-0.073;0.2949;0.0592;0.5165;-0.0999;0.3803;-0.0333
Median;0.9278;0.7446;-0.0192;0.7466;0.0978;0.7553;0.0805;0.824;-0.0368;0.4385;0.4881;0.3327;0.6038;0.6519;0.0203;0.5019;0.1165
Mean;0.7778;0.8334;0.0396;0.7758;0.1075;0.7886;0.0947;0.863;0.0203;0.4467;0.331;0.3348;0.4905;0.7553;0.1178;0.5998;0.2287
Qu3.75%;1.1695;1.1864;0.2103;1.0268;0.2359;1.0547;0.2582;1.1629;0.1339;0.4843;0.6803;0.3787;0.8407;1.0625;0.3268;0.775;0.419
Max;1.5408;1.6421;0.6509;1.6206;0.6282;1.6008;0.6278;1.6249;0.6494;0.6838;1.0693;0.4247;1.2123;1.6015;0.822;1.5973;0.9134
IQR;0.7972;0.5921;0.356;0.4591;0.3039;0.5306;0.3329;0.6019;0.2727;0.0788;0.7532;0.0838;0.7815;0.546;0.4267;0.3947;0.4524
SD;0.4784;0.4472;0.3098;0.3646;0.2359;0.3607;0.2262;0.443;0.2795;0.0949;0.4829;0.0595;0.4545;0.4012;0.3174;0.3629;0.3311
N;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
Na;0;5;5;4;4;4;4;4;4;0;0;2;2;5;5;2;2
RMSE;-;0.3064;-;0.2552;-;0.2414;-;0.275;-;0.579;-;0.6633;-;0.3327;-;0.3976;-
Rsquared;-;0.5585;-;0.6824;-;0.7063;-;0.6248;-;0.0027;-;0.0106;-;0.4953;-;0.4754;-
MAE;-;0.2334;-;0.197;-;0.1857;-;0.2045;-;0.5128;-;0.5663;-;0.244;-;0.3002;-
